CO2 Time,Total Time,Cum. Inj. Water,Cum Prod Water,Cum. Oil Prod. ,Cum. Inj CO2,Cum. Prod Gas, CH Pressure
(hrs),(hrs),(rml),ml,(sep_ml),(rml),(std.cc),atm
104.7947279,466.3328985,4095.597751,3186.769465,731.3632546,1097.896155,332180.5155,254.7559792
104.8113946,466.3495651,4095.597751,3186.669845,731.0770011,1098.071034,332236.9405,254.8376549
104.8280612,466.3662318,4095.597751,3186.719655,730.696916,1098.245913,332254.9451,254.7559792
104.8447279,466.3828985,4095.597751,3186.689769,730.6041252,1098.421839,332279.4801,254.7968171
104.8613946,466.3995651,4095.597751,3186.729617,730.1382685,1098.595671,332318.4654,254.7151411
104.8780612,466.4162318,4095.597751,3186.739579,730.1312818,1098.77055,332325.476,254.9193303
104.8947279,466.4328985,4095.597751,3186.769465,730.8922805,1098.945428,332342.6078,254.9193303
104.9113946,466.4495651,4095.597751,3186.779427,730.8553319,1099.117166,332368.8282,254.7559792
104.9280612,466.4662318,4095.597751,3186.769465,731.1375206,1099.292045,332431.9274,254.8376549
104.9447279,466.4828985,4095.597751,3186.809313,731.3997961,1099.466924,332450.6639,254.9737804
104.9613946,466.4995651,4095.597751,3186.879047,730.8939772,1099.641803,332462.0308,254.8784927
104.9780612,466.5162318,4095.597751,3186.779427,731.0065189,1099.816681,332516.2665,254.9193303
104.9947279,466.5328985,4095.597751,3186.719655,731.9071549,1099.99156,332544.7875,254.8376549
105.0113946,466.5495651,4095.597751,3186.879047,730.4739358,1100.166439,332567.7332,254.8784927
105.0280612,466.5662318,4095.597751,3186.849161,731.1949355,1100.341318,332591.6593,254.8784927
105.0447279,466.5828985,4095.597751,3186.849161,731.3973629,1100.516197,332625.5652,254.8784927
105.0613946,466.5995651,4095.597751,3186.908933,729.95435,1100.687934,332617.4793,254.9193303
105.0780612,466.6162318,4095.597751,3187.08825,730.4959955,1100.862813,332612.7152,255.0554551
105.0947279,466.6328985,4095.597751,3187.277528,730.1699264,1101.037692,332627.7962,254.7968171
105.1113946,466.6495651,4095.597751,3187.397073,730.8411369,1101.212571,332624.3126,254.7968171
105.1280612,466.6662318,4095.597751,3187.377149,729.9865813,1101.386403,332621.1316,255.1371294
105.1447279,466.6828985,4095.597751,3187.476769,729.9865813,1101.562329,332620.3905,254.9193303
105.1613946,466.6995651,4095.597751,3187.476769,730.3984439,1101.736161,332621.9695,254.8784927
105.1780612,466.7162318,4095.597751,3187.496693,730.9298675,1101.911039,332609.1931,255.1371294
105.1947279,466.7328985,4095.597751,3187.456845,730.5936739,1102.085918,332619.5672,254.9737804
105.2113946,466.7495651,4095.597751,3187.436921,730.0181858,1102.260797,332612.1714,255.0554551
105.2280612,466.7662318,4095.597751,3187.466807,729.8116285,1102.435676,332614.2599,255.0962923
105.2447279,466.7828985,4095.597751,3187.436921,730.1238708,1102.610555,332614.4618,255.0962923
105.2613946,466.7995651,4095.597751,3187.556465,730.4558913,1102.785434,332625.6273,255.0962923
105.2780612,466.8162318,4095.597751,3187.566427,730.408894,1102.959266,332605.4849,255.2188033
105.2947279,466.8328985,4095.597751,3187.486731,730.7111686,1103.134144,332631.8083,255.1779664
105.3113946,466.8495651,4095.597751,3187.566427,729.5672052,1103.309023,332619.1169,255.1371294
105.3280612,466.8662318,4095.597751,3187.486731,730.956359,1103.483902,332630.6824,255.1371294
105.3447279,466.8828985,4095.597751,3187.416997,730.3112495,1103.658781,332623.1304,254.9737804
105.3613946,466.8995651,4095.597751,3187.486731,729.3468574,1103.83366,332628.7697,255.1779664
105.3780612,466.9162318,4095.597751,3187.506655,729.8384328,1104.005397,332612.9212,255.1371294
105.3947279,466.9328985,4095.597751,3187.506655,730.6690422,1104.180276,332664.6724,255.1779664
105.4113946,466.9495651,4095.597751,3187.466807,732.4888914,1104.355155,335377.9428,254.8784927
105.4280612,466.9662318,4095.597751,3186.816785,731.3671584,1104.530034,334162.0493,254.8376549
