CO2 Time,Total Time,Cum. Inj Water at inlet,Cum. Prod Water ,Cum Oil prod. ,Cum. Inj CO2,Cum. Prod Gas,Pressure
(hrs),hrs,(rml),ml,(sep_ml),(rml),(std.cc),atm
3.3665,1377.6297,2812.3138,2631.8486,84.4848,7.0541,0.0207,256.5324
3.3831,1377.6464,2812.3138,2631.7529,84.5705,7.0897,0.0181,256.5324
3.3998,1377.6630,2812.3138,2631.7401,84.5805,7.1243,0.0253,256.5734
3.4165,1377.6797,2812.3138,2631.7401,84.5805,7.1589,0.0307,256.5734
3.4331,1377.6964,2812.3138,2631.8658,84.4905,7.1945,0.0207,256.4915
3.4498,1377.7130,2812.3138,2631.7729,84.6405,7.2291,0.0338,256.5324
3.4665,1377.7297,2812.3138,2631.9286,84.4919,7.2647,0.0217,256.5324
3.4831,1377.7464,2812.3138,2631.8215,84.6734,7.2993,0.0240,256.5734
3.4998,1377.7630,2812.3138,2631.9229,84.4777,7.3339,0.0182,256.5734
3.5165,1377.7797,2812.3138,2631.7258,84.7262,7.3695,0.0206,256.5324
3.5331,1377.7964,2812.3138,2631.8958,84.6005,7.4041,0.0232,256.5734
3.5498,1377.8130,2812.3138,2632.1201,84.4077,7.4386,0.0194,256.5734
3.5665,1377.8297,2812.3138,2631.9386,84.5934,7.4732,0.0288,256.5734
3.5831,1377.8464,2812.3138,2632.0358,84.4591,7.5088,0.0245,256.5324
3.5998,1377.8630,2812.3138,2632.0884,84.4007,7.5434,0.0160,256.5734
3.6165,1377.8797,2812.3138,2631.6015,84.9719,7.5780,0.0232,256.5324
3.6331,1377.8964,2812.3138,2631.8886,84.7162,7.6136,0.0348,256.5734
3.6498,1377.9130,2812.3138,2631.8572,84.7448,7.6482,0.0294,256.5734
3.6665,1377.9297,2812.3138,2631.9829,84.6148,7.6828,0.0263,256.5734
3.6831,1377.9464,2812.3138,2632.0072,84.6334,7.7184,0.0180,256.5734
3.6998,1377.9630,2812.3138,2632.3364,84.2899,7.7530,0.0337,256.5734
3.7165,1377.9797,2812.3138,2632.2929,84.3619,7.7876,0.0255,256.5734
3.7331,1377.9964,2812.3138,2632.2201,84.4462,7.8232,0.0277,256.5734
3.7498,1378.0130,2812.3138,2632.2886,84.4505,7.8578,0.0126,256.5324
3.7665,1378.0297,2812.3138,2632.2529,84.5062,7.8934,0.0242,256.5324
3.7831,1378.0464,2812.3138,2631.8872,84.8291,7.9280,0.0132,256.5734
3.7998,1378.0630,2812.3138,2631.8872,84.8291,7.9625,0.0270,256.5324
3.8165,1378.0797,2812.3138,2632.1144,84.7134,7.9982,0.0342,256.5324
3.8331,1378.0964,2812.3138,2632.4015,84.4619,8.0327,0.0179,256.5324
3.8498,1378.1130,2812.3138,2632.1801,84.6334,8.0673,0.0262,256.4915
3.8665,1378.1297,2812.3138,2632.3201,84.5219,8.1019,0.0189,256.5324
3.8831,1378.1464,2812.3138,2632.1015,84.7605,8.1375,0.0179,256.5324
3.8998,1378.1630,2812.3138,2632.5101,84.4305,8.1721,0.0283,256.5324
3.9165,1378.1797,2812.3138,2632.3986,84.4619,8.2067,0.0206,256.5324
3.9331,1378.1964,2812.3138,2632.2429,84.7006,8.2423,0.0126,256.5324
3.9498,1378.2130,2812.3138,2632.1958,84.7734,8.2769,0.0125,256.5324
3.9665,1378.2297,2812.3138,2632.4201,84.5848,8.3114,0.0239,256.5324
3.9831,1378.2464,2812.3138,2632.1801,84.7677,8.3471,0.0367,256.5324
3.9998,1378.2630,2812.3138,2632.4344,84.4705,8.3816,0.0106,256.5324
4.0165,1378.2797,2812.3138,2632.4186,84.5919,8.4162,0.0248,256.4915
4.0331,1378.2964,2812.3138,2632.5486,84.4719,8.4518,0.0275,256.5324
4.0498,1378.3130,2812.3138,2632.2729,84.7577,8.4864,0.0206,256.4915
4.0665,1378.3297,2812.3138,2632.3829,84.6448,8.5210,0.0167,256.5324
4.0831,1378.3464,2812.3138,2632.3258,84.8419,8.5566,0.0126,256.5324
4.0998,1378.3630,2812.3138,2632.7386,84.3534,8.5912,0.0370,256.4915
4.1165,1378.3797,2812.3138,2632.7929,84.3662,8.6268,0.0273,256.5324
4.1331,1378.3964,2812.3138,2632.4715,84.6705,8.6614,0.0277,256.5324
4.1498,1378.4130,2812.3138,2632.6901,84.5662,8.6960,0.0250,256.4915
4.1665,1378.4297,2812.3138,2632.7311,84.5467,8.7316,0.0165,256.4915
4.1831,1378.4464,2812.3138,2632.7311,84.5467,8.7651,0.0151,256.5324
4.1998,1378.4630,2812.3138,2633.2886,84.0734,8.8007,0.0184,256.4915
4.2165,1378.4797,2812.3138,2632.8344,84.4462,8.8353,0.0187,256.4915
4.2331,1378.4964,2812.3138,2632.9672,84.3519,8.8709,0.0078,256.4915
4.2498,1378.5130,2812.3138,2633.0158,84.2619,8.9055,0.0084,256.4915
4.2665,1378.5297,2812.3138,2633.0572,84.3034,8.9401,0.0191,256.4915
4.2831,1378.5464,2812.3138,2633.0881,84.2725,8.9757,0.0179,256.4915
4.2998,1378.5630,2812.3138,2632.9381,84.4453,9.0103,0.0195,256.4915
4.3165,1378.5797,2812.3138,2632.8601,84.5019,9.0449,0.0157,256.4915
4.3331,1378.5964,2812.3138,2633.0444,84.4005,9.0805,0.0295,256.4915
4.3498,1378.6130,2812.3138,2633.2172,84.2219,9.1151,0.0139,256.4915
4.3665,1378.6297,2812.3138,2633.1929,84.3119,9.1496,0.0302,256.4915
4.3831,1378.6464,2812.3138,2633.0329,84.4791,9.1853,0.0257,256.4915
4.3998,1378.6630,2812.3138,2633.4486,84.0948,9.2198,0.0171,256.4915
4.4165,1378.6797,2812.3138,2633.1715,84.3948,9.2555,0.0463,256.4505
4.4331,1378.6964,2812.3138,2633.3701,84.1862,9.2890,0.0219,256.4505
4.4498,1378.7130,2812.3138,2633.3183,84.2794,9.3246,0.0298,256.4505
4.4665,1378.7297,2812.3138,2633.2386,84.4219,9.3592,0.0214,256.4505
4.4831,1378.7464,2812.3138,2633.1844,84.4477,9.3948,0.0291,256.4505
4.4998,1378.7630,2812.3138,2633.3929,84.2862,9.4294,0.0111,256.4505
4.5165,1378.7797,2812.3138,2633.0772,84.6534,9.4640,0.0194,256.4505
4.5331,1378.7964,2812.3138,2633.2929,84.5034,9.4996,0.0208,256.4096
4.5498,1378.8130,2812.3138,2633.2929,84.5034,9.5342,0.0203,256.4505
4.5665,1378.8297,2812.3138,2633.1986,84.6019,9.5687,0.0289,256.4505
4.5831,1378.8464,2812.3138,2633.4786,84.2948,9.6044,0.0187,256.4505
4.5998,1378.8630,2812.3138,2633.4644,84.3191,9.6389,0.0262,256.4505
4.6165,1378.8797,2812.3138,2633.6701,84.2291,9.6735,0.0118,256.4096
