Time,Cum. Inj. Water,Cum Prod Water,Cum. Oil Prod. ,Cum. Inj CO2,Cum. Prod Gas,Pressure
(hrs),(rml),ml,(sep_ml),(rml),(std.cc),atm
5.646,70.982,-0.651,54.548,0.000,5760.116,296.270
5.663,71.191,-0.452,54.752,0.000,5740.011,296.352
5.680,71.402,-0.471,54.855,0.000,5777.576,296.393
5.696,71.611,-0.950,55.318,0.000,5783.917,296.433
5.713,71.821,-0.671,55.204,0.000,5830.796,296.352
5.730,72.030,-0.671,55.338,0.000,5806.389,296.311
5.746,72.240,-0.800,55.559,0.000,5824.302,296.230
5.763,72.450,-0.661,55.812,0.000,5863.418,296.270
5.780,72.659,-0.551,55.189,0.000,5861.073,296.352
5.796,72.870,-0.372,55.821,0.000,5899.069,296.311
5.813,73.079,-0.382,55.363,0.000,5900.612,296.474
5.830,73.290,-0.402,56.095,0.000,5906.667,296.433
5.846,73.496,-0.252,56.329,0.000,5907.388,296.230
5.863,73.706,-0.362,56.871,0.000,5943.748,296.311
5.880,73.916,-0.432,56.945,0.000,5961.180,296.270
5.896,74.126,-0.402,56.311,0.000,5979.295,296.352
5.913,74.335,-0.531,57.282,0.000,5995.317,296.393
5.930,74.546,-0.631,57.385,0.000,6019.916,296.393
5.946,74.755,-0.402,57.252,0.000,6007.708,296.352
5.963,74.965,-0.402,57.386,0.000,6034.765,296.270
5.980,75.175,-0.342,57.605,0.000,6033.427,296.311
5.996,75.385,-0.511,58.107,0.000,6095.815,296.270
6.013,75.594,-0.551,57.772,0.000,6083.053,296.311
6.030,75.800,-0.362,58.224,0.000,6114.267,296.393
6.046,76.011,-0.442,58.029,0.000,6085.606,296.230
6.063,76.220,-0.422,58.321,0.000,6149.587,296.230
6.080,76.430,-0.551,58.515,0.000,6153.638,296.270
6.096,76.639,-0.541,58.917,0.000,6158.040,296.311
6.113,76.849,-0.342,58.912,0.000,6185.657,296.433
6.130,77.058,-0.282,58.816,0.000,6210.922,296.270
6.146,77.268,-0.581,58.860,0.000,6204.359,296.270
6.163,77.478,-0.481,59.641,0.000,6238.270,296.270
6.180,77.688,-0.422,58.698,0.000,6259.424,296.311
6.196,77.898,-0.422,58.831,0.000,6283.202,296.352
6.213,78.108,-0.501,59.344,0.000,6284.464,296.393
6.230,78.318,-0.531,60.035,0.000,6300.143,296.352
6.246,78.528,-0.392,60.397,0.000,6321.358,296.311
6.263,78.737,-0.322,59.433,0.000,6352.847,296.352
6.280,78.946,-0.461,60.165,0.000,6337.214,296.311
6.296,79.156,-0.422,60.827,0.000,6357.252,296.270
6.313,79.363,-0.282,60.542,0.000,6393.917,296.352
6.330,79.573,-0.442,60.753,0.000,6393.901,296.311
6.346,79.782,-0.412,60.729,0.000,6447.879,296.393
6.363,79.992,-0.372,61.241,0.000,6425.719,296.393
6.380,80.201,-0.312,60.627,0.000,6443.540,296.311
6.396,80.412,-0.481,61.080,0.000,6466.592,296.393
6.413,80.621,-0.252,61.562,0.000,6476.769,296.270
6.430,80.832,-0.252,61.696,0.000,6494.867,296.270
6.446,81.041,-0.471,61.737,0.000,6518.459,296.352
6.463,81.251,-0.442,61.921,0.000,6564.715,296.352
6.480,81.461,-0.242,61.755,0.000,6553.984,296.393
6.496,81.670,-0.471,62.547,0.000,6574.624,296.311
6.513,81.877,-0.511,62.890,0.000,7368.386,296.148
6.530,82.087,-0.860,62.565,0.000,7657.109,296.230
6.546,82.297,-0.661,62.758,0.000,7472.594,296.189
6.563,82.506,-0.461,62.732,0.000,7365.249,296.270
6.580,82.717,-0.720,63.464,0.000,6703.761,296.311
6.596,82.926,-0.621,63.498,0.000,6653.329,296.352
6.613,83.137,-0.392,63.502,0.000,6664.466,296.189
6.630,83.346,-0.312,63.743,0.000,6657.301,296.352
6.646,83.557,-0.392,64.106,0.000,6710.882,296.311
6.663,83.766,-0.471,64.310,0.000,6720.335,296.311
